slug,name_ja,name_ko_or_en,area_slug,prefecture,property_type,initial_tier,initial_bath_signals,source_basis,verification_status,source_files
nyuto-kuroyu,乳頭温泉郷 黒湯温泉,Kuroyu Onsen,nyuto,秋田県,ryokan,Tier 1,비탕형 원천 온천과 계절 운영 후보,Nyuto official source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
nyuto-ganiba,乳頭温泉郷 蟹場温泉,Ganiba Onsen,nyuto,秋田県,ryokan,Tier 1,숲속 노천탕과 탕순례 후보,Nyuto official source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
nyuto-ogama,乳頭温泉郷 大釜温泉,Ogama Onsen,nyuto,秋田県,ryokan,Tier 2,학교 건물 재활용 공공탕 분위기 후보,Nyuto official source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
nyuto-magoroku,乳頭温泉郷 孫六温泉,Magoroku Onsen,nyuto,秋田県,ryokan,Tier 2,탕치형 다원천 온천 후보,Nyuto official source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
nyuto-kyukamura,休暇村 乳頭温泉郷,Kyukamura Nyuto Onsenkyo,nyuto,秋田県,public resort hotel,Tier 1,두 종류 원천과 접근성 좋은 숙박 후보,Jalan and Qkamura source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
nyuto-komagatake-grand-hotel,駒ヶ岳グランドホテル,Komagatake Grand Hotel,nyuto,秋田県,ryokan hotel,Tier 2,타자와코 고원 온천과 뉴토 접근성 후보,Rakuten Nyuto nearby source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
nyuto-lodge-iris,ロッジアイリス,Lodge Iris,nyuto,秋田県,lodge,Tier 3,타자와코 고원 소규모 온천 숙박 후보,Rakuten Nyuto nearby source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
izu-nagaoka-yoshiharu,湯めぐりの宿 吉春,Yoshiharu,izu-nagaoka,静岡県,ryokan,Tier 1,복수 대절 노천과 객실 노천탕 강한 후보,Rakuten Izu Nagaoka room-open-air source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
izu-nagaoka-sanyo-so,三養荘,Sanyo-so,izu-nagaoka,静岡県,luxury ryokan,Tier 1,정원 별저형 고급 온천 후보,Ikkyu Izu Nagaoka source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
izu-nagaoka-ishinoya,石のや 伊豆長岡,Ishinoya Izu Nagaoka,izu-nagaoka,静岡県,ryokan,Tier 1,일부 객실 노천탕과 정원형 온천 후보,Ikkyu Izu Nagaoka source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
izu-nagaoka-new-hakkeien,ニュー八景園,New Hakkeien,izu-nagaoka,静岡県,ryokan hotel,Tier 2,후지산 전망 노천탕 후보,Rakuten Izu Nagaoka list source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
izu-nagaoka-hotel-tenbo,伊豆長岡温泉 ホテル天坊,Hotel Tenbo,izu-nagaoka,静岡県,ryokan hotel,Tier 2,대욕장과 노천탕 복수 후보,Rakuten Izu Nagaoka list source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
izu-nagaoka-komatsuya-hachinobo,小松家八の坊,Komatsuya Hachinobo,izu-nagaoka,静岡県,ryokan,Tier 2,대욕장과 반려견 수요 후보,Rakuten Izu Nagaoka list source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
izu-nagaoka-kouyurou-ikawa,香湯楼井川,Kouyurou Ikawa,izu-nagaoka,静岡県,ryokan,Tier 2,대절탕과 현대 료칸 수요 후보,Rakuten Izu Nagaoka list source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
izu-nagaoka-rakuzan-yasuda,楽山やすだ,Rakuzan Yasuda,izu-nagaoka,静岡県,ryokan,Tier 2,다다미 숙소와 노천탕 후보,Rakuten Izu Nagaoka list source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
izu-nagaoka-sunvalley,ホテルサンバレー伊豆長岡,Hotel Sunvalley Izu Nagaoka,izu-nagaoka,静岡県,large ryokan hotel,Tier 2,대형 대욕장과 가족 수요 후보,Rakuten Izu Nagaoka list source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
izu-nagaoka-konabesso,古奈別荘,Kona Besso,izu-nagaoka,静岡県,ryokan,Tier 2,전통 별장형 온천 숙박 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
awara-mimatsu,あわら温泉 美松,Mimatsu,awara,福井県,ryokan,Tier 1,정원 노천 객실 다수와 대욕장 스파 신호,Rakuten Awara room-open-air source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
awara-grandia-housen,あわら温泉 グランディア芳泉,Grandia Housen,awara,福井県,large ryokan,Tier 1,고급 대욕장과 객실 노천탕 후보,Ikkyu Awara source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
awara-beniya,あわら温泉 光風湯圃 べにや,Beniya,awara,福井県,luxury ryokan,Tier 1,전통 고급 료칸과 원천 온천 후보,Ikkyu Awara source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
awara-tsuruya,あわら温泉 つるや,Tsuruya,awara,福井県,ryokan,Tier 1,전통 료칸 원천가케나가시 후보,Ikkyu Awara source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
awara-matsuya-sensen,まつや千千,Matsuya Sensen,awara,福井県,large ryokan,Tier 1,대형 대욕장과 노천탕 경쟁력 후보,Ikkyu Awara source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
awara-seifuso,あわら温泉 清風荘,Seifuso,awara,福井県,large ryokan hotel,Tier 1,극장형 뷔페와 대형 온천 수요 후보,Rakuten Awara ranking source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
awara-haiya,伝統旅館のぬくもり 灰屋,Haiya,awara,福井県,ryokan,Tier 2,전통 료칸 정원 노천 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
awara-grand-hotel,あわら温泉グランドホテル,Awara Onsen Grand Hotel,awara,福井県,ryokan hotel,Tier 2,복수 욕장과 가성비 수요 후보,Ikkyu Awara source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
awara-hasegawa,あわら温泉 長谷川,Hasegawa,awara,福井県,ryokan,Tier 2,중소형 료칸 대욕장 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
awara-hakuwaso,あわら温泉 白和荘,Hakuwaso,awara,福井県,ryokan,Tier 3,지역 료칸 온천 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kinosaki-nishimuraya-honkan,西村屋本館,Nishimuraya Honkan,kinosaki,兵庫県,luxury ryokan,Tier 1,기노사키 대표 고급 료칸과 외탕 접근성 후보,Ikkyu Kinosaki source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kinosaki-nishimuraya-shogetsutei,西村屋ホテル招月庭,Nishimuraya Hotel Shogetsutei,kinosaki,兵庫県,luxury ryokan hotel,Tier 1,정원 노천과 객실 노천탕 후보,Ikkyu and Jalan Kinosaki sources,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kinosaki-ryokufukaku,きのさきの宿 緑風閣,Ryokufukaku,kinosaki,兵庫県,ryokan,Tier 1,객실 노천탕과 외탕 접근성 후보,Ikkyu and Jalan Kinosaki sources,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kinosaki-kawaguchiya-riverside,川口屋城崎リバーサイドホテル,Kawaguchiya Kinosaki Riverside Hotel,kinosaki,兵庫県,ryokan hotel,Tier 1,객실 노천탕과 강변 대욕장 후보,Jalan Kinosaki room-open-air source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kinosaki-tokiwa-bekkan,城崎温泉 ときわ別館,Tokiwa Bekkan,kinosaki,兵庫県,ryokan,Tier 2,정원형 숙박과 외탕 순례 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kinosaki-mikiya,城崎温泉 三木屋,Mikiya,kinosaki,兵庫県,historic ryokan,Tier 1,문학성 있는 전통 료칸과 외탕 접근성 후보,regional high-value source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kinosaki-yamamotoya,城崎温泉 山本屋,Yamamotoya,kinosaki,兵庫県,ryokan,Tier 2,중심가 외탕 접근성과 전통 료칸 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kinosaki-kobayashiya,城崎温泉 小林屋,Kobayashiya,kinosaki,兵庫県,ryokan,Tier 2,리뉴얼 료칸과 외탕 순례 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kinosaki-onishiya-suishoen,大西屋水翔苑,Onishiya Suishoen,kinosaki,兵庫県,ryokan,Tier 2,정원 노천과 송영 수요 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kinosaki-oyado-hakusan,城崎温泉 お宿 白山,Oyado Hakusan,kinosaki,兵庫県,ryokan,Tier 2,대절탕과 가족 여행 수요 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kirishima-aubegio-kanko,霧島観光ホテル,AUBEGIO Kirishima Kanko Hotel,kirishima,鹿児島県,ryokan hotel,Tier 1,객실 노천탕과 전망 대욕장 후보,Rakuten Kirishima room-open-air source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kirishima-myoken-ishiharaso,妙見石原荘,Myoken Ishiharaso,kirishima,鹿児島県,luxury ryokan,Tier 1,계류 노천과 원천가케나가시 고급 후보,Ikkyu Kirishima source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kirishima-hotel,霧島ホテル,Kirishima Hotel,kirishima,鹿児島県,large ryokan hotel,Tier 1,대형 황산 계열 대욕장과 명물 온천 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kirishima-ryokojin-sanso,旅行人山荘,Ryokojin Sanso,kirishima,鹿児島県,ryokan,Tier 1,전망 노천과 대절 노천탕 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kirishima-miyama-hotel,霧島みやまホテル,Kirishima Miyama Hotel,kirishima,鹿児島県,ryokan,Tier 2,대절탕 다수와 소규모 온천 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kirishima-sakura-sakura,さくらさくら温泉,Sakura Sakura Onsen,kirishima,鹿児島県,onsen hotel,Tier 2,진흙팩 노천탕과 체험형 온천 후보,regional facility source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kirishima-tenku-no-mori,天空の森,Tenku no Mori,kirishima,鹿児島県,luxury villa,Tier 1,초고급 빌라형 노천탕 후보,Ikkyu Kirishima source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kirishima-gajoen,忘れの里 雅叙苑,Wasureno Sato Gajoen,kirishima,鹿児島県,luxury ryokan,Tier 1,묘켄 온천 고급 객실탕 후보,regional high-end source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kirishima-yakakutei,数寄の宿 野鶴亭,Yakakutei,kirishima,鹿児島県,ryokan,Tier 2,히나타야마 온천과 대욕장 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
kirishima-yuyuan,霧島温泉郷 鳥遊ぶ森の宿 ふたり静,Futari Shizuka,kirishima,鹿児島県,luxury ryokan,Tier 1,전실 별동 노천탕 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_d_v0_5_2026-07-03.csv
nozawa-grand-hotel,野沢温泉 野沢グランドホテル,Nozawa Grand Hotel,nozawa,長野県,ryokan hotel,Tier 1,전망 노천과 객실 노천탕 후보,Jalan Nagano/Nozawa ranking source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
nozawa-sakaya,野沢温泉 旅館さかや,Ryokan Sakaya,nozawa,長野県,ryokan,Tier 1,자가원천과 전통 대욕장 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
nozawa-kiriya-ryokan,野沢温泉 桐屋旅館,Kiriya Ryokan,nozawa,長野県,ryokan,Tier 2,외탕 순례와 전통 료칸 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
nozawa-kawamotoya,野沢温泉 河一屋旅館,Kawamotoya,nozawa,長野県,ryokan,Tier 1,객실 노천탕과 외탕 접근성 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
nozawa-sumiyosiya,野沢温泉 住吉屋,Sumiyosiya,nozawa,長野県,ryokan,Tier 2,역사 료칸과 원천 대욕장 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yudanaka-tsubakino,湯田中温泉 ホテル椿野,Hotel Tsubakino,yudanaka-shibu,長野県,ryokan hotel,Tier 1,객실 노천탕과 전망 대욕장 후보,Jalan Nagano keyword source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yudanaka-aburaya-tousen,湯田中温泉 あぶらや燈千,Aburaya Tousen,yudanaka-shibu,長野県,ryokan,Tier 1,객실 노천탕과 옥상 노천탕 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
shibu-kokuya,渋温泉 古久屋,Kokuya,yudanaka-shibu,長野県,ryokan,Tier 1,다원천 내탕과 객실탕 후보,regional high-value source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
shibu-kanaguya,渋温泉 歴史の宿 金具屋,Kanaguya,yudanaka-shibu,長野県,historic ryokan,Tier 1,역사 건축과 다욕장 온천 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
shibu-sakaeya,渋温泉 春蘭の宿さかえや,Sakaeya,yudanaka-shibu,長野県,ryokan,Tier 1,객실 노천탕과 외탕 순례 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
shibu-ichinoyu-katei,渋温泉 一乃湯 果亭,Ichinoyu Katei,yudanaka-shibu,長野県,ryokan,Tier 2,전통 료칸과 외탕 순례 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
bessho-nakamatsuya,別所温泉 旅館中松屋,Nakamatsuya,bessho,長野県,ryokan,Tier 1,전망 대욕장과 가족 수요 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
bessho-nanjo-ryokan,別所温泉 旅館花屋,Ryokan Hanaya,bessho,長野県,historic ryokan,Tier 1,문화재급 목조 료칸과 원천탕 후보,regional high-value source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
bessho-kashiwaya-honten,別所温泉 かしわや本店,Kashiwaya Honten,bessho,長野県,ryokan,Tier 1,객실 노천탕과 전통 료칸 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
shirahonet-onsen-awano-yu,白骨温泉 泡の湯,Awanoyu,shirahonet,長野県,ryokan,Tier 1,대형 혼욕 노천과 백탁 온천 신호,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
shirahonet-sasaya,白骨温泉 湯元齋藤旅館,Yumoto Saito Ryokan,shirahonet,長野県,ryokan,Tier 1,백탁 원천과 고급 료칸 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
shirahonet-tsuruya,白骨温泉 白船荘新宅旅館,Shirafuneso Shintaku Ryokan,shirahonet,長野県,ryokan,Tier 2,백탁 대욕장과 산악 온천 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
echigo-yuzawa-nakaya,越後湯沢温泉 一望千里 御湯宿 中屋,Oyado Nakaya,echigo-yuzawa,新潟県,ryokan,Tier 1,객실 노천탕과 전망 온천 후보,Rakuten Echigo Yuzawa room-open-air source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
echigo-yuzawa-ryugon,ryugon,ryugon,echigo-yuzawa,新潟県,luxury ryokan,Tier 1,설국 고택형 료칸과 온천 체류 후보,Rakuten Echigo Yuzawa source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
echigo-yuzawa-quattro,四季Yuzawa QUATTRO,Shiki Yuzawa Quattro,echigo-yuzawa,新潟県,luxury suite ryokan,Tier 1,전실 원천가케나가시 노천과 내탕 후보,Rakuten MyTrip Niigata source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
echigo-yuzawa-hatago-isen,越後湯澤 HATAGO井仙,HATAGO Isen,echigo-yuzawa,新潟県,ryokan hotel,Tier 1,역앞 온천숙소와 대욕장 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
echigo-yuzawa-takahan,越後湯沢温泉 雪国の宿 高半,Takahan,echigo-yuzawa,新潟県,historic ryokan,Tier 1,원천가케나가시와 설국 문학성 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
tsukioka-kahou,月岡温泉 白玉の湯 華鳳,Kahou,tsukioka,新潟県,luxury ryokan,Tier 1,에메랄드 온천과 대형 고급 대욕장 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
tsukioka-senkei,月岡温泉 摩周,Mashu,tsukioka,新潟県,ryokan,Tier 1,황화수소계 미인탕과 고급 료칸 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
tsukioka-seifuen,月岡温泉 ホテル清風苑,Hotel Seifuen,tsukioka,新潟県,ryokan hotel,Tier 2,대형 온천호텔과 가족 수요 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
tsukioka-hisagoso,月岡温泉 ひさご荘,Hisagoso,tsukioka,新潟県,ryokan,Tier 2,소규모 료칸과 월오카 온천 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
senami-haginoya,瀬波温泉 瀬波グランドホテル はぎのや,Haginoya,senami,新潟県,ryokan hotel,Tier 1,객실 노천탕 다수와 일본해 해안 온천 후보,Rakuten Kaetsu source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
senami-taikanso,瀬波温泉 大観荘せなみの湯,Taikanso Senami no Yu,senami,新潟県,large ryokan,Tier 1,일본해 전망 노천탕 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
senami-seiunsou,瀬波温泉 くつろぎの宿 旅館 静雲荘,Seiunsou,senami,新潟県,ryokan,Tier 1,해변 객실 노천탕 후보,Rakuten Niigata rotsuki source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yamashiro-araya-totoan,山代温泉 あらや滔々庵,Araya Totoan,yamashiro,石川県,luxury ryokan,Tier 1,야마시로 대표 고급 료칸과 원천 후보,Ikkyu Yamashiro ranking source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yamashiro-beniya-mukayu,山代温泉 べにや無何有,Beniya Mukayu,yamashiro,石川県,luxury ryokan,Tier 1,객실 노천탕과 고급 온천 체류 후보,Ikkyu Yamashiro ranking source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yamashiro-yunokuni-tensyo,山代温泉 ゆのくに天祥,Yunokuni Tensyo,yamashiro,石川県,large ryokan,Tier 1,복수 대욕장과 객실 노천탕 후보,Ikkyu Yamashiro ranking source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yamashiro-rurikoh,山代温泉 瑠璃光,Rurikoh,yamashiro,石川県,ryokan hotel,Tier 1,대욕장과 노천 객실 후보,Ikkyu Yamashiro ranking source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yamashiro-hatori,山代温泉 葉渡莉,Hatori,yamashiro,石川県,ryokan,Tier 2,대욕장과 야마시로 온천가 접근성 후보,Ikkyu Yamashiro ranking source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yamanaka-kayotei,山中温泉 花紫,Hanamurasaki,yamanaka,石川県,luxury ryokan,Tier 1,계곡 전망 고급 료칸과 객실 노천탕 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yamanaka-kissho-yamanaka,山中温泉 吉祥やまなか,Kissho Yamanaka,yamanaka,石川県,ryokan,Tier 1,대욕장과 대절탕 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yamanaka-kagari-kisshotei,山中温泉 かがり吉祥亭,Kagari Kisshotei,yamanaka,石川県,ryokan,Tier 1,계곡 노천탕과 가족 수요 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
yamanaka-ohanami-kyubei,山中温泉 お花見久兵衛,Ohanami Kyubei,yamanaka,石川県,ryokan,Tier 2,대욕장과 노천탕 후보,Ikkyu Hokuriku open-air source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
wakura-kagaya,和倉温泉 加賀屋,Kagaya,wakura,石川県,luxury ryokan,Tier 1,전국 인지도 높은 대형 고급 온천 료칸 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
wakura-niji-to-umi,和倉温泉 虹と海,Niji to Umi,wakura,石川県,ryokan hotel,Tier 1,바다 전망 대욕장과 현대형 료칸 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
wakura-notoraku,和倉温泉 ホテル海望,Hotel Kaibo,wakura,石川県,ryokan hotel,Tier 2,바다 전망 대욕장 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
katayamazu-morimoto,片山津温泉 湖畔の宿 森本,Kohan no Yado Morimoto,katayamazu,石川県,ryokan,Tier 1,호수 전망 온천과 객실 후보,Ikkyu Hokuriku open-air source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
katayamazu-kasuisou,片山津温泉 季がさね,Toki Kasane,katayamazu,石川県,ryokan,Tier 2,시바야마가타 전망 대욕장 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
unazuki-yamanoi,宇奈月温泉 延楽,Enraku,unazuki,富山県,luxury ryokan,Tier 1,구로베 협곡 전망 노천탕 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
unazuki-suginoi,宇奈月温泉 やまのは,Yamanoha,unazuki,富山県,ryokan hotel,Tier 1,협곡 전망 대형 온천호텔 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
unazuki-kurobe-unazukionsen-yamanoi,黒部・宇奈月温泉 桃源,Togen,unazuki,富山県,ryokan,Tier 2,구로베 강변 온천 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
amaharashi-iso-hanabi,雨晴温泉 磯はなび,Iso Hanabi,amaharashi,富山県,ryokan hotel,Tier 1,바다 전망 노천탕과 도야마만 조망 후보,Ikkyu Hokuriku source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
misasa-izanro-iwasaki,三朝温泉 依山楼岩崎,Izanro Iwasaki,misasa,鳥取県,ryokan,Tier 1,라듐 온천과 대형 회유식 대욕장 후보,Jalan Chugoku/Shikoku source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
misasa-mansuirou,三朝温泉 万翆楼,Mansuirou,misasa,鳥取県,ryokan,Tier 1,객실 노천탕과 라듐 온천 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
misasa-saiki-bekkan,三朝温泉 斉木別館,Saiki Bekkan,misasa,鳥取県,ryokan,Tier 1,정원 대욕장과 전통 료칸 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
misasa-kouraku,三朝温泉 後楽,Kouraku,misasa,鳥取県,ryokan,Tier 2,라듐 온천 숙박 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
kaike-shiontei,皆生温泉 やど紫苑亭,Yado Shiontei,kaike,鳥取県,luxury ryokan,Tier 1,고급 객실탕과 해안 온천 후보,Jalan Chugoku/Shikoku source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
kaike-kasuitei,皆生温泉 華水亭,Kasuitei,kaike,鳥取県,ryokan hotel,Tier 1,바다 전망 대욕장과 객실 노천탕 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
kaike-yurari,皆生温泉 海色・湯の宿 松月,Shogetsu,kaike,鳥取県,ryokan,Tier 1,해안 객실탕과 전망 온천 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
tamatsukuri-kasuien-minami,玉造温泉 佳翠苑皆美,Kasuien Minami,tamatsukuri,島根県,luxury ryokan,Tier 1,옥상 노천탕과 미인탕 후보,Jalan Chugoku room-open-air source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
tamatsukuri-hoseikan,玉造温泉 保性館,Hoseikan,tamatsukuri,島根県,ryokan,Tier 2,역사 료칸과 대욕장 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
tamatsukuri-chorakuen,玉造温泉 湯之助の宿 長楽園,Chorakuen,tamatsukuri,島根県,ryokan,Tier 1,대형 혼욕 노천과 미인탕 후보,regional high-demand source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
tamatsukuri-konya,玉造温泉 曲水の庭 ホテル玉泉,Hotel Gyokusen,tamatsukuri,島根県,large ryokan,Tier 1,대형 대욕장과 정원 온천 후보,regional OTA source,needs_source_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
tamatsukuri-yunosuke,玉造グランドホテル長生閣,Choseikaku,tamatsukuri,島根県,ryokan hotel,Tier 1,메노우 욕조와 미인탕 후보,regional OTA source,needs_official_crosscheck,nationwide_accommodation_batch_e_v0_6_2026-07-03.csv
